Sample ID	Diversity	DiversityID	Pert1	Pert2 	Temp	pH	Phylogenetic Resolution
21H-A-DNA_Reads_non_singletons_gap	1.493	Total	Temp	Perturbed	7.5	15	75
22H-A-DNA_Reads_non_singletons_gap	1.342	Total	Temp	Perturbed	7.5	15	75
23H-A-DNA_Reads_non_singletons_gap	1.319	Total	Temp	Perturbed	7.5	15	75
NBAF33-A33_Reads_non_singletons_gap	n/a	Total	Temp	Perturbed	7.5	15	75
26H-A-DNA_Reads_non_singletons_gap	1.296	Total	Temp	Perturbed	6	35	75
27H-A-DNA_Reads_non_singletons_gap	1.462	Total	Temp	Perturbed	6	35	75
28H-A-DNA_Reads_non_singletons_gap	1.463	Total	Temp	Perturbed	6	35	75
29H-A-DNA_Reads_non_singletons_gap	0.778	Total	Temp	Perturbed	4.5	35	75
30H-A-DNA_Reads_non_singletons_gap	0.727	Total	Temp	Perturbed	4.5	35	75
31H-A-DNA_Reads_non_singletons_gap	0.774	Total	Temp	Perturbed	4.5	35	75
33H-A-DNA_Reads_non_singletons_gap	1.446	Total	Temp	Perturbed	7.5	35	75
34H-A-DNA_Reads_non_singletons_gap	1.448	Total	Temp	Perturbed	7.5	35	75
35H-A-DNA_Reads_non_singletons_gap	1.475	Total	Temp	Perturbed	7.5	35	75
AOA68_Reads_non_singletons_gap	n/a	Total	Temp	Perturbed	7.5	35	75
37H-A-DNA_Reads_non_singletons_gap	1.706	Total	pH	Maintained	6	25	75
38H-A-DNA_Reads_non_singletons_gap	1.727	Total	pH	Maintained	6	25	75
39H-A-DNA_Reads_non_singletons_gap	1.698	Total	pH	Maintained	6	25	75
41H-A-DNA_Reads_non_singletons_gap	1.797	Total	pH	Maintained	6	15	75
42H-A-DNA_Reads_non_singletons_gap	1.796	Total	pH	Maintained	6	15	75
43H-A-DNA_Reads_non_singletons_gap	1.879	Total	pH	Maintained	6	15	75
AOA84_Reads_non_singletons_gap	n/a	Total	pH	Maintained	6	15	75
45H-A-DNA_Reads_non_singletons_gap	1.587	Total	pH	Maintained	6	35	75
46H-A-DNA_Reads_non_singletons_gap	1.490	Total	pH	Maintained	6	35	75
47H-A-DNA_Reads_non_singletons_gap	1.439	Total	pH	Maintained	6	35	75
NBAF45-A45_Reads_non_singletons_gap	n/a	Total	pH	Maintained	6	35	75
49H-A-DNA_Reads_non_singletons_gap	1.391	Total	pH	Perturbed	4.5	25	75
50H-A-DNA_Reads_non_singletons_gap	1.305	Total	pH	Perturbed	4.5	25	75
51H-A-DNA_Reads_non_singletons_gap	1.112	Total	pH	Perturbed	4.5	25	75
AOA100_Reads_non_singletons_gap	n/a	Total	pH	Perturbed	4.5	25	75
53H-A-DNA_Reads_non_singletons_gap	1.616	Total	pH	Perturbed	4.5	15	75
54H-A-DNA_Reads_non_singletons_gap	1.551	Total	pH	Perturbed	4.5	15	75
55H-A-DNA_Reads_non_singletons_gap	1.606	Total	pH	Perturbed	4.5	15	75
57H-A-DNA_Reads_non_singletons_gap	1.456	Total	pH	Perturbed	4.5	35	75
58H-A-DNA_Reads_non_singletons_gap	1.546	Total	pH	Perturbed	4.5	35	75
59H-A-DNA_Reads_non_singletons_gap	1.545	Total	pH	Perturbed	4.5	35	75
NBAF71-A73_reads_without_singletons_id_1	n/a	Total	pH	Perturbed	7.5	25	75
63H-A-DNA_Reads_non_singletons_gap	1.633	Total	pH	Perturbed	7.5	25	75
64H-A-DNA_Reads_non_singletons_gap	1.711	Total	pH	Perturbed	7.5	25	75
65H-A-DNA_Reads_non_singletons_gap	1.852	Total	pH	Perturbed	7.5	15	75
66H-A-DNA_Reads_non_singletons_gap	1.872	Total	pH	Perturbed	7.5	15	75
67H-A-DNA_Reads_non_singletons_gap	1.828	Total	pH	Perturbed	7.5	15	75
69H-A-DNA_Reads_non_singletons_gap	1.679	Total	pH	Perturbed	7.5	35	75
70H-A-DNA_Reads_non_singletons_gap	1.514	Total	pH	Perturbed	7.5	35	75
71H-A-DNA_Reads_non_singletons_gap	1.507	Total	pH	Perturbed	7.5	35	75
AOA140_Reads_non_singletons_gap	n/a	Total	pH	Perturbed	7.5	35	75
2H-A-DNA_Reads_non_singletons_gap	0.740	Active	Temp	Maintained	6	25	75
3H-A-DNA_Reads_non_singletons_gap	0.396	Active	Temp	Maintained	6	25	75
4H-A-DNA_Reads_non_singletons_gap	0.407	Active	Temp	Maintained	6	25	75
5H-A-DNA_Reads_non_singletons_gap	0.688	Active	Temp	Maintained	4.5	25	75
6H-A-DNA_Reads_non_singletons_gap	0.923	Active	Temp	Maintained	4.5	25	75
7H-A-DNA_Reads_non_singletons_gap	0.761	Active	Temp	Maintained	4.5	25	75
9H-A-DNA_Reads_non_singletons_gap	1.221	Active	Temp	Maintained	7.5	25	75
10H-A-DNA_Reads_non_singletons_gap	0.730	Active	Temp	Maintained	7.5	25	75
11H-A-DNA_Reads_non_singletons_gap	0.937	Active	Temp	Maintained	7.5	25	75
13H-A-DNA_Reads_non_singletons_gap	0.468	Active	Temp	Perturbed	6	15	75
14H-A-DNA_Reads_non_singletons_gap	0.412	Active	Temp	Perturbed	6	15	75
15H-A-DNA_Reads_non_singletons_gap	0.462	Active	Temp	Perturbed	6	15	75
17H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	75
18H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	75
19H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	75
21H-A-DNA_Reads_non_singletons_gap	0.505	Active	Temp	Perturbed	7.5	15	75
22H-A-DNA_Reads_non_singletons_gap	0.612	Active	Temp	Perturbed	7.5	15	75
23H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	7.5	15	75
NBAF33-A33_Reads_non_singletons_gap	0.594	Active	Temp	Perturbed	7.5	15	75
26H-A-DNA_Reads_non_singletons_gap	0.035	Active	Temp	Perturbed	6	35	75
27H-A-DNA_Reads_non_singletons_gap	0.069	Active	Temp	Perturbed	6	35	75
28H-A-DNA_Reads_non_singletons_gap	0.092	Active	Temp	Perturbed	6	35	75
29H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	75
30H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	75
31H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	75
33H-A-DNA_Reads_non_singletons_gap	0.325	Active	Temp	Perturbed	7.5	35	75
34H-A-DNA_Reads_non_singletons_gap	1.256	Active	Temp	Perturbed	7.5	35	75
35H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	7.5	35	75
AOA68_Reads_non_singletons_gap	0.577	Active	Temp	Perturbed	7.5	35	75
37H-A-DNA_Reads_non_singletons_gap	0.599	Active	pH	Maintained	6	25	75
38H-A-DNA_Reads_non_singletons_gap	1.082	Active	pH	Maintained	6	25	75
39H-A-DNA_Reads_non_singletons_gap	1.554	Active	pH	Maintained	6	25	75
41H-A-DNA_Reads_non_singletons_gap	1.512	Active	pH	Maintained	6	15	75
42H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Maintained	6	15	75
43H-A-DNA_Reads_non_singletons_gap	1.309	Active	pH	Maintained	6	15	75
AOA84_Reads_non_singletons_gap	0.755	Active	pH	Maintained	6	15	75
45H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Maintained	6	35	75
46H-A-DNA_Reads_non_singletons_gap	0.420	Active	pH	Maintained	6	35	75
47H-A-DNA_Reads_non_singletons_gap	0.308	Active	pH	Maintained	6	35	75
NBAF45-A45_Reads_non_singletons_gap	0.522	Active	pH	Maintained	6	35	75
49H-A-DNA_Reads_non_singletons_gap	0.800	Active	pH	Perturbed	4.5	25	75
50H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	25	75
51H-A-DNA_Reads_non_singletons_gap	0.724	Active	pH	Perturbed	4.5	25	75
AOA100_Reads_non_singletons_gap	0.694	Active	pH	Perturbed	4.5	25	75
53H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	75
54H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	75
55H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	75
57H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	75
58H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	75
59H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	75
NBAF71-A73_reads_without_singletons_id_1	0.000	Active	pH	Perturbed	7.5	25	75
63H-A-DNA_Reads_non_singletons_gap	0.865	Active	pH	Perturbed	7.5	25	75
64H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	25	75
65H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	75
66H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	75
67H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	75
69H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	35	75
70H-A-DNA_Reads_non_singletons_gap	0.764	Active	pH	Perturbed	7.5	35	75
71H-A-DNA_Reads_non_singletons_gap	0.370	Active	pH	Perturbed	7.5	35	75
AOA140_Reads_non_singletons_gap	0.058	Active	pH	Perturbed	7.5	35	75
2H-A-DNA_Reads_non_singletons_gap	1.225	Total	Temp	Maintained	6	25	70
3H-A-DNA_Reads_non_singletons_gap	1.204	Total	Temp	Maintained	6	25	70
4H-A-DNA_Reads_non_singletons_gap	1.218	Total	Temp	Maintained	6	25	70
5H-A-DNA_Reads_non_singletons_gap	0.892	Total	Temp	Maintained	4.5	25	70
6H-A-DNA_Reads_non_singletons_gap	0.890	Total	Temp	Maintained	4.5	25	70
7H-A-DNA_Reads_non_singletons_gap	0.897	Total	Temp	Maintained	4.5	25	70
9H-A-DNA_Reads_non_singletons_gap	0.827	Total	Temp	Maintained	7.5	25	70
10H-A-DNA_Reads_non_singletons_gap	0.800	Total	Temp	Maintained	7.5	25	70
11H-A-DNA_Reads_non_singletons_gap	0.827	Total	Temp	Maintained	7.5	25	70
13H-A-DNA_Reads_non_singletons_gap	0.958	Total	Temp	Perturbed	6	15	70
14H-A-DNA_Reads_non_singletons_gap	0.988	Total	Temp	Perturbed	6	15	70
15H-A-DNA_Reads_non_singletons_gap	0.935	Total	Temp	Perturbed	6	15	70
17H-A-DNA_Reads_non_singletons_gap	0.854	Total	Temp	Perturbed	4.5	15	70
18H-A-DNA_Reads_non_singletons_gap	0.821	Total	Temp	Perturbed	4.5	15	70
19H-A-DNA_Reads_non_singletons_gap	0.799	Total	Temp	Perturbed	4.5	15	70
21H-A-DNA_Reads_non_singletons_gap	1.021	Total	Temp	Perturbed	7.5	15	70
22H-A-DNA_Reads_non_singletons_gap	0.869	Total	Temp	Perturbed	7.5	15	70
23H-A-DNA_Reads_non_singletons_gap	0.863	Total	Temp	Perturbed	7.5	15	70
NBAF33-A33_Reads_non_singletons_gap	n/a	Total	Temp	Perturbed	7.5	15	70
26H-A-DNA_Reads_non_singletons_gap	0.806	Total	Temp	Perturbed	6	35	70
27H-A-DNA_Reads_non_singletons_gap	0.912	Total	Temp	Perturbed	6	35	70
28H-A-DNA_Reads_non_singletons_gap	0.838	Total	Temp	Perturbed	6	35	70
29H-A-DNA_Reads_non_singletons_gap	0.275	Total	Temp	Perturbed	4.5	35	70
30H-A-DNA_Reads_non_singletons_gap	0.240	Total	Temp	Perturbed	4.5	35	70
31H-A-DNA_Reads_non_singletons_gap	0.242	Total	Temp	Perturbed	4.5	35	70
33H-A-DNA_Reads_non_singletons_gap	0.893	Total	Temp	Perturbed	7.5	35	70
34H-A-DNA_Reads_non_singletons_gap	0.869	Total	Temp	Perturbed	7.5	35	70
35H-A-DNA_Reads_non_singletons_gap	0.897	Total	Temp	Perturbed	7.5	35	70
AOA68_Reads_non_singletons_gap	n/a	Total	Temp	Perturbed	7.5	35	70
37H-A-DNA_Reads_non_singletons_gap	1.197	Total	pH	Maintained	6	25	70
38H-A-DNA_Reads_non_singletons_gap	1.216	Total	pH	Maintained	6	25	70
39H-A-DNA_Reads_non_singletons_gap	1.155	Total	pH	Maintained	6	25	70
41H-A-DNA_Reads_non_singletons_gap	0.836	Total	pH	Maintained	6	15	70
42H-A-DNA_Reads_non_singletons_gap	0.848	Total	pH	Maintained	6	15	70
43H-A-DNA_Reads_non_singletons_gap	0.932	Total	pH	Maintained	6	15	70
AOA84_Reads_non_singletons_gap	n/a	Total	pH	Maintained	6	15	70
45H-A-DNA_Reads_non_singletons_gap	0.883	Total	pH	Maintained	6	35	70
46H-A-DNA_Reads_non_singletons_gap	0.808	Total	pH	Maintained	6	35	70
47H-A-DNA_Reads_non_singletons_gap	0.817	Total	pH	Maintained	6	35	70
NBAF45-A45_Reads_non_singletons_gap	n/a	Total	pH	Maintained	6	35	70
49H-A-DNA_Reads_non_singletons_gap	0.650	Total	pH	Perturbed	4.5	25	70
50H-A-DNA_Reads_non_singletons_gap	0.738	Total	pH	Perturbed	4.5	25	70
51H-A-DNA_Reads_non_singletons_gap	0.588	Total	pH	Perturbed	4.5	25	70
AOA100_Reads_non_singletons_gap	n/a	Total	pH	Perturbed	4.5	25	70
53H-A-DNA_Reads_non_singletons_gap	0.406	Total	pH	Perturbed	4.5	15	70
54H-A-DNA_Reads_non_singletons_gap	0.272	Total	pH	Perturbed	4.5	15	70
55H-A-DNA_Reads_non_singletons_gap	0.413	Total	pH	Perturbed	4.5	15	70
57H-A-DNA_Reads_non_singletons_gap	0.168	Total	pH	Perturbed	4.5	35	70
58H-A-DNA_Reads_non_singletons_gap	0.323	Total	pH	Perturbed	4.5	35	70
59H-A-DNA_Reads_non_singletons_gap	0.319	Total	pH	Perturbed	4.5	35	70
NBAF71-A73_reads_without_singletons_id_1	n/a	Total	pH	Perturbed	7.5	25	70
63H-A-DNA_Reads_non_singletons_gap	1.204	Total	pH	Perturbed	7.5	25	70
64H-A-DNA_Reads_non_singletons_gap	1.028	Total	pH	Perturbed	7.5	25	70
65H-A-DNA_Reads_non_singletons_gap	0.735	Total	pH	Perturbed	7.5	15	70
66H-A-DNA_Reads_non_singletons_gap	0.807	Total	pH	Perturbed	7.5	15	70
67H-A-DNA_Reads_non_singletons_gap	0.713	Total	pH	Perturbed	7.5	15	70
69H-A-DNA_Reads_non_singletons_gap	0.623	Total	pH	Perturbed	7.5	35	70
70H-A-DNA_Reads_non_singletons_gap	0.360	Total	pH	Perturbed	7.5	35	70
71H-A-DNA_Reads_non_singletons_gap	0.348	Total	pH	Perturbed	7.5	35	70
AOA140_Reads_non_singletons_gap	n/a	Total	pH	Perturbed	7.5	35	70
2H-A-DNA_Reads_non_singletons_gap	0.684	Active	Temp	Maintained	6	25	70
3H-A-DNA_Reads_non_singletons_gap	0.382	Active	Temp	Maintained	6	25	70
4H-A-DNA_Reads_non_singletons_gap	0.400	Active	Temp	Maintained	6	25	70
5H-A-DNA_Reads_non_singletons_gap	0.532	Active	Temp	Maintained	4.5	25	70
6H-A-DNA_Reads_non_singletons_gap	0.703	Active	Temp	Maintained	4.5	25	70
7H-A-DNA_Reads_non_singletons_gap	0.592	Active	Temp	Maintained	4.5	25	70
9H-A-DNA_Reads_non_singletons_gap	0.802	Active	Temp	Maintained	7.5	25	70
10H-A-DNA_Reads_non_singletons_gap	0.507	Active	Temp	Maintained	7.5	25	70
11H-A-DNA_Reads_non_singletons_gap	0.657	Active	Temp	Maintained	7.5	25	70
13H-A-DNA_Reads_non_singletons_gap	0.454	Active	Temp	Perturbed	6	15	70
14H-A-DNA_Reads_non_singletons_gap	0.399	Active	Temp	Perturbed	6	15	70
15H-A-DNA_Reads_non_singletons_gap	0.442	Active	Temp	Perturbed	6	15	70
17H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	70
18H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	70
19H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	70
21H-A-DNA_Reads_non_singletons_gap	0.425	Active	Temp	Perturbed	7.5	15	70
22H-A-DNA_Reads_non_singletons_gap	0.494	Active	Temp	Perturbed	7.5	15	70
23H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	7.5	15	70
NBAF33-A33_Reads_non_singletons_gap	0.478	Active	Temp	Perturbed	7.5	15	70
26H-A-DNA_Reads_non_singletons_gap	0.033	Active	Temp	Perturbed	6	35	70
27H-A-DNA_Reads_non_singletons_gap	0.064	Active	Temp	Perturbed	6	35	70
28H-A-DNA_Reads_non_singletons_gap	0.080	Active	Temp	Perturbed	6	35	70
29H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	70
30H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	70
31H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	70
33H-A-DNA_Reads_non_singletons_gap	0.242	Active	Temp	Perturbed	7.5	35	70
34H-A-DNA_Reads_non_singletons_gap	1.094	Active	Temp	Perturbed	7.5	35	70
35H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	7.5	35	70
AOA68_Reads_non_singletons_gap	0.443	Active	Temp	Perturbed	7.5	35	70
37H-A-DNA_Reads_non_singletons_gap	0.455	Active	pH	Maintained	6	25	70
38H-A-DNA_Reads_non_singletons_gap	0.710	Active	pH	Maintained	6	25	70
39H-A-DNA_Reads_non_singletons_gap	0.988	Active	pH	Maintained	6	25	70
41H-A-DNA_Reads_non_singletons_gap	1.094	Active	pH	Maintained	6	15	70
42H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Maintained	6	15	70
43H-A-DNA_Reads_non_singletons_gap	0.852	Active	pH	Maintained	6	15	70
AOA84_Reads_non_singletons_gap	0.702	Active	pH	Maintained	6	15	70
45H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Maintained	6	35	70
46H-A-DNA_Reads_non_singletons_gap	0.367	Active	pH	Maintained	6	35	70
47H-A-DNA_Reads_non_singletons_gap	0.274	Active	pH	Maintained	6	35	70
NBAF45-A45_Reads_non_singletons_gap	0.446	Active	pH	Maintained	6	35	70
49H-A-DNA_Reads_non_singletons_gap	0.748	Active	pH	Perturbed	4.5	25	70
50H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	25	70
51H-A-DNA_Reads_non_singletons_gap	0.686	Active	pH	Perturbed	4.5	25	70
AOA100_Reads_non_singletons_gap	0.633	Active	pH	Perturbed	4.5	25	70
53H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	70
54H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	70
55H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	70
57H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	70
58H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	70
59H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	70
NBAF71-A73_reads_without_singletons_id_1	0.000	Active	pH	Perturbed	7.5	25	70
63H-A-DNA_Reads_non_singletons_gap	0.823	Active	pH	Perturbed	7.5	25	70
64H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	25	70
65H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	70
66H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	70
67H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	70
69H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	35	70
70H-A-DNA_Reads_non_singletons_gap	0.687	Active	pH	Perturbed	7.5	35	70
71H-A-DNA_Reads_non_singletons_gap	0.285	Active	pH	Perturbed	7.5	35	70
AOA140_Reads_non_singletons_gap	0.049	Active	pH	Perturbed	7.5	35	70
